"subject","item","target_response","sentence_type","data_source","mask_added_tokens","stop_at","response","log.RT","correct","voice","model_id","max_cossim_to_targets_pre.training","max_cossim_to_targets","mean_cossim_to_targets_pre.training","mean_cossim_to_targets","f.score.pre.training","target_response.n","data_source.n","voice.n","RT","target_response.n_i_n_ds_a_t_human","target_response.n_i_n_ds_a_t_bert","target_response.n_i_n_v_a_t_ovs_passive","target_response.n_i_n_v_a_t_svo_active","target_response.n_i_n_ds_a_t_human_i_n_v_a_t_ovs_passive","target_response.n_i_n_ds_a_t_human_i_n_v_a_t_svo_active","target_response.n_i_n_ds_a_t_bert_i_n_v_a_t_svo_active","target_response.n_i_n_ds_a_t_bert_i_n_v_a_t_ovs_passive","data_source.n_i_n_tr_a_t_object_target","data_source.n_i_n_tr_a_t_subject_target","data_source.n_i_n_v_a_t_ovs_passive","data_source.n_i_n_v_a_t_svo_active","data_source.n_i_n_tr_a_t_object_target_i_n_v_a_t_ovs_passive","data_source.n_i_n_tr_a_t_object_target_i_n_v_a_t_svo_active","data_source.n_i_n_tr_a_t_subject_target_i_n_v_a_t_ovs_passive","data_source.n_i_n_tr_a_t_subject_target_i_n_v_a_t_svo_active","voice.n_i_n_tr_a_t_object_target","voice.n_i_n_tr_a_t_subject_target","voice.n_i_n_ds_a_t_human","voice.n_i_n_ds_a_t_bert","voice.n_i_n_tr_a_t_object_target_i_n_ds_a_t_human","voice.n_i_n_tr_a_t_subject_target_i_n_ds_a_t_human","voice.n_i_n_tr_a_t_subject_target_i_n_ds_a_t_bert","voice.n_i_n_tr_a_t_object_target_i_n_ds_a_t_bert"
"1","46","Object target","raising perfect passive","human","Don't mask blork","convergence","[obj]",8.13856473726163,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,3424,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","53","Object target","neg perfect transitive","human","Don't mask blork","convergence","[obj]",8.35936910622267,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,4270,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0
"1","19","Subject target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[subj]",8.20631072579402,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,3664,-0.5,0,-0.5,0,-0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0
"1","79","Object target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[obj]",7.86249719723055,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,2598,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","38","Subject target","neg perfect passive","human","Don't mask blork","convergence","[subj]",8.75052466911794,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,6314,-0.5,0,-0.5,0,-0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0
"1","12","Subject target","cleft subject perfect transitive","human","Don't mask blork","convergence","[subj]",8.43119947824926,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,4588,-0.5,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0
"1","0","Subject target","perfect transitive","human","Don't mask blork","convergence","[subj]",7.82124208352356,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,2493,-0.5,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0
"1","29","Subject target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[subj]",8.65903991564447,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,5762,-0.5,0,-0.5,0,-0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0
"1","69","Object target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[obj]",7.87891291229713,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,2641,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","23","Subject target","neg perfect transitive","human","Don't mask blork","convergence","[subj]",8.42595471098197,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,4564,-0.5,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0
"1","9","Subject target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[subj]",8.20193435119422,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,3648,-0.5,0,-0.5,0,-0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0
"1","76","Object target","raising perfect passive","human","Don't mask blork","convergence","[obj]",8.11492297420459,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,3344,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","34","Subject target","cleft subject raising perfect transitive","human","Don't mask blork","convergence","[subj]",8.26873183211774,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,3900,-0.5,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0
"1","59","Object target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[obj]",8.12917499691179,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,3392,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","48","Object target","neg perfect passive","human","Don't mask blork","convergence","[obj]",8.67145815042767,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,5834,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","54","Object target","cleft subject raising perfect transitive","human","Don't mask blork","convergence","[obj]",8.64646552712038,TRUE,"SVO active",NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,5690,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0
"1","49","Object target","cleft subject raising perfect passive","human","Don't mask blork","convergence","[obj]",7.71690613529839,TRUE,"OVS passive",NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,2246,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,-0.5,0,-0.5,0,-0.5,0,0,0
"1","5","Subject target","perfect passive","human","Don't mask blork","convergence","[obj]",7.80016307039296,FALSE,"OVS passive",NA,NA,NA,NA,NA,NA,-0.5,0.5,-0.5,2441,-0.5,0,-0.5,0,-0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,-0.5,-0.5,0,0,-0.5,0,0
