item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
0,The [subj] has always blorked the [obj].,perfect transitive,white_red,always,pearl,True,[subj]
1,The [subj] seems to have often blorked the [obj].,raising perfect transitive,white_red,often,pearl,True,[subj]
2,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,white_red,typically,pearl,True,[subj]
3,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,white_red,usually,pearl,True,[subj]
4,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,white_red,always,pearl,True,[subj]
5,The [obj] has often been blorked by the [subj].,perfect passive,white_red,often,pearl,True,[subj]
6,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,white_red,typically,pearl,True,[subj]
7,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,white_red,usually,pearl,True,[subj]
8,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,white_red,always,pearl,True,[subj]
9,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,white_red,often,pearl,True,[subj]
10,The [subj] has often blorked the [obj].,perfect transitive,white_red,often,sheep,True,[subj]
11,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,white_red,typically,sheep,True,[subj]
12,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,white_red,usually,sheep,True,[subj]
13,The [subj] hasn't always blorked the [obj].,neg perfect transitive,white_red,always,sheep,True,[subj]
14,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,white_red,often,sheep,True,[subj]
15,The [obj] has typically been blorked by the [subj].,perfect passive,white_red,typically,sheep,True,[subj]
16,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,white_red,usually,sheep,True,[subj]
17,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,white_red,always,sheep,True,[subj]
18,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,white_red,often,sheep,True,[subj]
19,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,white_red,typically,sheep,True,[subj]
20,The [subj] has typically blorked the [obj].,perfect transitive,white_red,typically,milk,True,[subj]
21,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,white_red,usually,milk,True,[subj]
22,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,white_red,always,milk,True,[subj]
23,The [subj] hasn't often blorked the [obj].,neg perfect transitive,white_red,often,milk,True,[subj]
24,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,white_red,typically,milk,True,[subj]
25,The [obj] has usually been blorked by the [subj].,perfect passive,white_red,usually,milk,True,[subj]
26,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,white_red,always,milk,True,[subj]
27,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,white_red,often,milk,True,[subj]
28,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,white_red,typically,milk,True,[subj]
29,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,white_red,usually,milk,True,[subj]
30,The [subj] has usually blorked the [obj].,perfect transitive,white_red,usually,onion,True,[subj]
31,The [subj] seems to have always blorked the [obj].,raising perfect transitive,white_red,always,onion,True,[subj]
32,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,white_red,often,onion,True,[subj]
33,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,white_red,typically,onion,True,[subj]
34,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,white_red,usually,onion,True,[subj]
35,The [obj] has always been blorked by the [subj].,perfect passive,white_red,always,onion,True,[subj]
36,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,white_red,often,onion,True,[subj]
37,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,white_red,typically,onion,True,[subj]
38,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,white_red,usually,onion,True,[subj]
39,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,white_red,always,onion,True,[subj]
40,The [subj] has typically blorked the [obj].,perfect transitive,white_red,typically,blood,True,[obj]
